episode,seed_0,seed_1,seed_2
0,12.0,10.0,14.0
1,16.0,27.0,20.0
2,59.0,34.0,14.0
3,28.0,36.0,20.0
4,12.0,14.0,20.0
5,48.0,49.0,29.0
6,34.0,27.0,17.0
7,20.0,13.0,40.0
8,12.0,16.0,15.0
9,37.0,11.0,63.0
10,19.0,19.0,12.0
11,48.0,12.0,18.0
12,23.0,15.0,12.0
13,11.0,18.0,11.0
14,10.0,37.0,34.0
15,12.0,9.0,15.0
16,17.0,15.0,41.0
17,20.0,10.0,29.0
18,31.0,20.0,14.0
19,12.0,22.0,35.0
20,13.0,19.0,9.0
21,13.0,35.0,13.0
22,9.0,19.0,19.0
23,17.0,28.0,16.0
24,26.0,12.0,26.0
25,11.0,20.0,19.0
26,17.0,38.0,19.0
27,29.0,16.0,16.0
28,13.0,28.0,48.0
29,12.0,28.0,15.0
30,33.0,19.0,31.0
31,20.0,15.0,23.0
32,16.0,18.0,18.0
33,24.0,30.0,56.0
34,40.0,46.0,17.0
35,36.0,41.0,25.0
36,21.0,24.0,12.0
37,18.0,12.0,17.0
38,13.0,21.0,14.0
39,22.0,19.0,13.0
40,15.0,20.0,26.0
41,15.0,14.0,40.0
42,17.0,21.0,16.0
43,11.0,27.0,12.0
44,26.0,16.0,12.0
45,17.0,19.0,17.0
46,15.0,17.0,15.0
47,19.0,29.0,42.0
48,14.0,23.0,37.0
49,22.0,16.0,12.0
50,22.0,11.0,20.0
51,11.0,30.0,17.0
52,14.0,11.0,36.0
53,17.0,20.0,50.0
54,9.0,16.0,23.0
55,21.0,14.0,19.0
56,40.0,25.0,49.0
57,19.0,19.0,9.0
58,22.0,21.0,12.0
59,9.0,23.0,29.0
60,30.0,13.0,36.0
61,14.0,44.0,12.0
62,12.0,13.0,17.0
63,18.0,9.0,23.0
64,14.0,18.0,23.0
65,33.0,17.0,10.0
66,13.0,30.0,29.0
67,13.0,41.0,14.0
68,26.0,39.0,35.0
69,11.0,32.0,23.0
70,41.0,11.0,13.0
71,21.0,12.0,15.0
72,33.0,26.0,14.0
73,13.0,27.0,19.0
74,10.0,25.0,22.0
75,23.0,42.0,13.0
76,15.0,14.0,12.0
77,9.0,41.0,23.0
78,26.0,36.0,44.0
79,20.0,12.0,43.0
80,33.0,17.0,34.0
81,48.0,14.0,16.0
82,20.0,16.0,20.0
83,14.0,19.0,16.0
84,18.0,20.0,13.0
85,19.0,19.0,44.0
86,28.0,34.0,21.0
87,10.0,29.0,13.0
88,11.0,18.0,30.0
89,33.0,71.0,20.0
90,27.0,19.0,23.0
91,11.0,12.0,25.0
92,24.0,41.0,17.0
93,19.0,16.0,16.0
94,11.0,71.0,22.0
95,21.0,43.0,31.0
96,27.0,27.0,51.0
97,9.0,11.0,26.0
98,40.0,17.0,17.0
99,15.0,22.0,23.0
100,17.0,19.0,24.0
101,9.0,22.0,23.0
102,30.0,14.0,27.0
103,39.0,57.0,12.0
104,22.0,41.0,31.0
105,10.0,13.0,12.0
106,22.0,22.0,11.0
107,25.0,16.0,16.0
108,11.0,42.0,22.0
109,16.0,28.0,24.0
110,23.0,19.0,28.0
111,20.0,33.0,11.0
112,22.0,20.0,14.0
113,24.0,34.0,19.0
114,17.0,38.0,31.0
115,15.0,19.0,16.0
116,18.0,11.0,24.0
117,13.0,24.0,24.0
118,31.0,33.0,25.0
119,34.0,11.0,9.0
120,19.0,18.0,90.0
121,10.0,18.0,10.0
122,14.0,30.0,11.0
123,12.0,26.0,39.0
124,14.0,22.0,30.0
125,21.0,13.0,30.0
126,36.0,12.0,42.0
127,20.0,22.0,16.0
128,39.0,12.0,24.0
129,11.0,30.0,22.0
130,45.0,13.0,18.0
131,12.0,17.0,35.0
132,22.0,16.0,29.0
133,13.0,39.0,11.0
134,41.0,14.0,19.0
135,24.0,46.0,47.0
136,75.0,19.0,14.0
137,21.0,19.0,24.0
138,51.0,19.0,21.0
139,43.0,10.0,9.0
140,15.0,14.0,20.0
141,48.0,22.0,25.0
142,21.0,58.0,16.0
143,23.0,19.0,22.0
144,20.0,27.0,11.0
145,23.0,51.0,30.0
146,19.0,18.0,44.0
147,24.0,38.0,16.0
148,12.0,16.0,24.0
149,20.0,34.0,20.0
150,12.0,29.0,20.0
151,31.0,14.0,56.0
152,17.0,19.0,19.0
153,42.0,24.0,30.0
154,13.0,33.0,25.0
155,16.0,35.0,23.0
156,16.0,24.0,48.0
157,41.0,12.0,39.0
158,13.0,29.0,24.0
159,49.0,11.0,53.0
160,19.0,17.0,17.0
