episode,seed_0,seed_1,seed_2,seed_3,seed_4
0,23.0,11.0,16.0,14.0,17.0
1,12.0,34.0,14.0,25.0,19.0
2,17.0,17.0,21.0,17.0,9.0
3,10.0,18.0,23.0,41.0,12.0
4,15.0,20.0,17.0,17.0,31.0
5,30.0,13.0,16.0,19.0,26.0
6,16.0,25.0,16.0,15.0,18.0
7,17.0,17.0,10.0,13.0,17.0
8,12.0,30.0,34.0,25.0,30.0
9,20.0,17.0,18.0,15.0,11.0
10,18.0,29.0,20.0,13.0,27.0
11,28.0,32.0,12.0,10.0,28.0
12,35.0,22.0,15.0,18.0,21.0
13,32.0,10.0,33.0,19.0,41.0
14,23.0,23.0,15.0,21.0,23.0
15,38.0,25.0,9.0,16.0,11.0
16,26.0,14.0,19.0,16.0,61.0
17,31.0,13.0,14.0,15.0,41.0
18,10.0,16.0,11.0,31.0,28.0
19,19.0,27.0,10.0,21.0,18.0
20,11.0,19.0,12.0,13.0,12.0
21,21.0,35.0,27.0,17.0,46.0
22,23.0,19.0,20.0,36.0,20.0
23,12.0,28.0,21.0,19.0,13.0
24,22.0,21.0,14.0,21.0,15.0
25,45.0,17.0,14.0,28.0,16.0
26,12.0,30.0,20.0,26.0,15.0
27,17.0,17.0,16.0,19.0,21.0
28,31.0,35.0,26.0,9.0,13.0
29,10.0,13.0,13.0,26.0,13.0
30,20.0,35.0,13.0,12.0,30.0
31,14.0,16.0,19.0,28.0,14.0
32,21.0,10.0,10.0,26.0,30.0
33,16.0,30.0,29.0,16.0,14.0
34,18.0,27.0,13.0,25.0,11.0
35,20.0,9.0,68.0,29.0,11.0
36,11.0,9.0,13.0,46.0,17.0
37,18.0,24.0,12.0,15.0,27.0
38,18.0,20.0,21.0,18.0,17.0
39,14.0,27.0,14.0,22.0,31.0
40,19.0,13.0,15.0,11.0,26.0
41,23.0,12.0,25.0,16.0,17.0
42,19.0,17.0,19.0,15.0,32.0
43,39.0,24.0,27.0,13.0,15.0
44,11.0,14.0,12.0,45.0,16.0
45,11.0,17.0,12.0,17.0,24.0
46,14.0,10.0,22.0,13.0,27.0
47,22.0,40.0,15.0,22.0,15.0
48,12.0,31.0,12.0,31.0,16.0
49,37.0,59.0,37.0,19.0,22.0
50,24.0,16.0,24.0,11.0,13.0
51,15.0,34.0,12.0,23.0,23.0
52,34.0,19.0,50.0,13.0,36.0
53,16.0,14.0,14.0,18.0,13.0
54,11.0,14.0,42.0,24.0,15.0
55,28.0,14.0,23.0,23.0,25.0
56,24.0,22.0,23.0,25.0,27.0
57,16.0,14.0,20.0,10.0,22.0
58,11.0,14.0,41.0,17.0,12.0
59,17.0,22.0,19.0,38.0,16.0
60,17.0,15.0,30.0,28.0,15.0
61,19.0,11.0,9.0,27.0,15.0
